id;ho_ten;ngay_sinh;dia_chi;cmt;trang_thai;tien_coc
1;capacitor instruction Principal;2021-03-30T07:34:11;Dollar Plastic;Paradigm;93313;71661
2;panel;2021-03-29T18:23:54;Fresh innovate Intelligent;West feed Investment;95747;95617
3;District Sol optimizing;2021-03-30T11:13:01;Mauritanie;Granite;45246;3241
4;invoice system;2021-03-30T04:25:42;XSS Card;Computer Awesome Rwanda;41831;10720
5;Internal Money Identity;2021-03-29T19:00:24;green Botswana Refined;proactive auxiliary;44090;38228
6;platforms multi-byte;2021-03-30T13:35:22;withdrawal Peru Beauty;Total;83174;10520
7;RSS deposit;2021-03-29T22:29:20;yellow cutting-edge Zloty;Towels XML;78297;74434
8;Frozen Chief HTTP;2021-03-30T09:56:28;Industrial Bedfordshire 1080p;Carolina for;42374;78935
9;Islands Sénégal input;2021-03-30T06:14:25;recontextualize parsing Books;Automotive deposit;53791;59402
10;generating task-force bypassing;2021-03-30T14:08:02;Producer systemic;driver;39872;4521
